New York City Department of Education,,,,,,,,,,,,,,,
NYC Results on the New York State 2013-2015 Math Test (Grades 3-8),,,,,,,,,,,,,,,
Borough Summary,,,,,,,,,,,,,,,
Results By Disability Status,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,Level 1,,Level 2,,Level 3,,Level 4,,Level 3+4,
Borough,Grade,Year,Category,Number Tested,Mean Scale Score,#,%,#,%,#,%,#,%,#,%
BROOKLYN,4,2013,Not SWD,17219,305,4175,24.2,6054,35.2,4221,24.5,2769,16.1,6990,40.6
BROOKLYN,4,2013,SWD,4046,274,2426,60.0,1094,27.0,391,9.7,135,3.3,526,13.0
BROOKLYN,4,2014,Not SWD,16620,311,3762,22.6,5113,30.8,3993,24.0,3752,22.6,7745,46.6
BROOKLYN,4,2014,SWD,4230,275,2411,57.0,1186,28.0,427,10.1,206,4.9,633,15.0
BROOKLYN,4,2015,Not SWD,16286,309,3731,22.9,5046,31.0,3903,24.0,3606,22.1,7509,46.1
BROOKLYN,4,2015,SWD,4266,276,2421,56.8,1182,27.7,463,10.9,200,4.7,663,15.5
BROOKLYN,5,2013,Not SWD,16937,306,5835,34.5,5292,31.2,3870,22.8,1940,11.5,5810,34.3
BROOKLYN,5,2013,SWD,3840,274,2730,71.1,770,20.1,271,7.1,69,1.8,340,8.9
BROOKLYN,5,2014,Not SWD,15751,315,3859,24.5,4519,28.7,4175,26.5,3198,20.3,7373,46.8
BROOKLYN,5,2014,SWD,3880,280,2397,61.8,913,23.5,404,10.4,166,4.3,570,14.7
BROOKLYN,5,2015,Not SWD,15205,316,3505,23.1,4268,28.1,4361,28.7,3071,20.2,7432,48.9
BROOKLYN,5,2015,SWD,3997,281,2480,62.0,944,23.6,446,11.2,127,3.2,573,14.3
BROOKLYN,6,2013,Not SWD,16832,304,4432,26.3,6706,39.8,2973,17.7,2721,16.2,5694,33.8
BROOKLYN,6,2013,SWD,3746,267,2569,68.6,966,25.8,164,4.4,47,1.3,211,5.6
BROOKLYN,6,2014,Not SWD,16075,308,3898,24.2,5868,36.5,3027,18.8,3282,20.4,6309,39.2
BROOKLYN,6,2014,SWD,3701,271,2358,63.7,1022,27.6,213,5.8,108,2.9,321,8.7
BROOKLYN,6,2015,Not SWD,15236,310,3681,24.2,5052,33.2,3071,20.2,3432,22.5,6503,42.7
BROOKLYN,6,2015,SWD,3627,270,2338,64.5,952,26.2,223,6.1,114,3.1,337,9.3
BROOKLYN,7,2013,Not SWD,17429,302,6767,38.8,5635,32.3,3194,18.3,1833,10.5,5027,28.8
BROOKLYN,7,2013,SWD,3774,266,2964,78.5,649,17.2,130,3.4,31,0.8,161,4.3
BROOKLYN,7,2014,Not SWD,16328,308,5254,32.2,5320,32.6,3592,22.0,2162,13.2,5754,35.2
BROOKLYN,7,2014,SWD,3636,271,2677,73.6,748,20.6,179,4.9,32,0.9,211,5.8
BROOKLYN,7,2015,Not SWD,15832,311,4383,27.7,5276,33.3,3563,22.5,2610,16.5,6173,39.0
BROOKLYN,7,2015,SWD,3587,273,2485,69.3,861,24.0,191,5.3,50,1.4,241,6.7
BROOKLYN,8,2013,Not SWD,17531,303,5297,30.2,6960,39.7,3526,20.1,1748,10.0,5274,30.1
BROOKLYN,8,2013,SWD,3638,265,2653,72.9,818,22.5,135,3.7,32,0.9,167,4.6
BROOKLYN,8,2014,Not SWD,14247,301,4537,31.8,5754,40.4,2576,18.1,1380,9.7,3956,27.8
BROOKLYN,8,2014,SWD,3505,267,2468,70.4,866,24.7,145,4.1,26,0.7,171,4.9
BROOKLYN,8,2015,Not SWD,13722,304,4265,31.1,5411,39.4,2373,17.3,1673,12.2,4046,29.5
BROOKLYN,8,2015,SWD,3396,266,2438,71.8,798,23.5,132,3.9,28,0.8,160,4.7
BROOKLYN,All Grades,2013,Not SWD,104050,304,31444,30.2,37099,35.7,21925,21.1,13582,13.1,35507,34.1
BROOKLYN,All Grades,2013,SWD,22861,271,15508,67.8,5437,23.8,1461,6.4,455,2.0,1916,8.4
BROOKLYN,All Grades,2014,Not SWD,96163,308,25497,26.5,31961,33.2,21947,22.8,16758,17.4,38705,40.2
BROOKLYN,All Grades,2014,SWD,23100,275,14456,62.6,5923,25.6,1941,8.4,780,3.4,2721,11.8
BROOKLYN,All Grades,2015,Not SWD,93257,310,23529,25.2,30332,32.5,21550,23.1,17846,19.1,39396,42.2
BROOKLYN,All Grades,2015,SWD,22842,275,14348,62.8,5781,25.3,1960,8.6,753,3.3,2713,11.9
MANHATTAN,3,2013,Not SWD,7664,310,1848,24.1,2392,31.2,1798,23.5,1626,21.2,3424,44.7
MANHATTAN,3,2013,SWD,1634,279,881,53.9,454,27.8,193,11.8,106,6.5,299,18.3
MANHATTAN,3,2014,Not SWD,7225,314,1476,20.4,1982,27.4,1974,27.3,1793,24.8,3767,52.1
MANHATTAN,3,2014,SWD,2014,282,1020,50.6,534,26.5,313,15.5,147,7.3,460,22.8
MANHATTAN,3,2015,Not SWD,6865,316,1309,19.1,1906,27.8,1702,24.8,1948,28.4,3650,53.2
MANHATTAN,3,2015,SWD,1945,285,992,51.0,507,26.1,270,13.9,176,9.0,446,22.9
MANHATTAN,4,2013,Not SWD,7182,311,1643,22.9,2137,29.8,1711,23.8,1691,23.5,3402,47.4
MANHATTAN,4,2013,SWD,1784,276,1008,56.5,496,27.8,187,10.5,93,5.2,280,15.7
MANHATTAN,4,2014,Not SWD,7087,317,1401,19.8,1927,27.2,1664,23.5,2095,29.6,3759,53.0
MANHATTAN,4,2014,SWD,2023,278,1097,54.2,519,25.7,267,13.2,140,6.9,407,20.1
MANHATTAN,4,2015,Not SWD,6898,317,1348,19.5,1765,25.6,1628,23.6,2157,31.3,3785,54.9
MANHATTAN,4,2015,SWD,2109,281,1075,51.0,572,27.1,287,13.6,175,8.3,462,21.9
MANHATTAN,5,2013,Not SWD,6636,309,2228,33.6,1685,25.4,1540,23.2,1183,17.8,2723,41.0
MANHATTAN,5,2013,SWD,1676,276,1135,67.7,313,18.7,168,10.0,60,3.6,228,13.6
MANHATTAN,5,2014,Not SWD,6389,319,1464,22.9,1564,24.5,1689,26.4,1672,26.2,3361,52.6
MANHATTAN,5,2014,SWD,1977,281,1191,60.2,457,23.1,233,11.8,96,4.9,329,16.6
MANHATTAN,5,2015,Not SWD,6350,323,1376,21.7,1427,22.5,1692,26.6,1855,29.2,3547,55.9
MANHATTAN,5,2015,SWD,1908,282,1120,58.7,432,22.6,260,13.6,96,5.0,356,18.7
MANHATTAN,6,2013,Not SWD,6707,309,1513,22.6,2491,37.1,1293,19.3,1410,21.0,2703,40.3
MANHATTAN,6,2013,SWD,1574,270,1008,64.0,428,27.2,86,5.5,52,3.3,138,8.8
MANHATTAN,6,2014,Not SWD,6285,314,1365,21.7,1956,31.1,1227,19.5,1737,27.6,2964,47.2
MANHATTAN,6,2014,SWD,1841,275,1090,59.2,491,26.7,142,7.7,118,6.4,260,14.1
MANHATTAN,6,2015,Not SWD,6241,317,1251,20.0,1828,29.3,1266,20.3,1896,30.4,3162,50.7
MANHATTAN,6,2015,SWD,1834,276,1071,58.4,523,28.5,151,8.2,89,4.9,240,13.1
MANHATTAN,7,2013,Not SWD,7049,307,2418,34.3,2151,30.5,1441,20.4,1039,14.7,2480,35.2
MANHATTAN,7,2013,SWD,1618,271,1195,73.9,321,19.8,85,5.3,17,1.1,102,6.3
MANHATTAN,7,2014,Not SWD,6506,313,1791,27.5,1980,30.4,1545,23.7,1190,18.3,2735,42.0
MANHATTAN,7,2014,SWD,1792,276,1223,68.2,410,22.9,119,6.6,40,2.2,159,8.9
MANHATTAN,7,2015,Not SWD,6191,315,1558,25.2,1809,29.2,1508,24.4,1316,21.3,2824,45.6
MANHATTAN,7,2015,SWD,1814,279,1106,61.0,477,26.3,163,9.0,68,3.7,231,12.7
MANHATTAN,8,2013,Not SWD,6923,307,1915,27.7,2577,37.2,1459,21.1,972,14.0,2431,35.1
MANHATTAN,8,2013,SWD,1521,269,1027,67.5,379,24.9,93,6.1,22,1.4,115,7.6
MANHATTAN,8,2014,Not SWD,5784,303,1704,29.5,2281,39.4,1201,20.8,598,10.3,1799,31.1
MANHATTAN,8,2014,SWD,1700,271,1111,65.4,451,26.5,112,6.6,26,1.5,138,8.1
MANHATTAN,8,2015,Not SWD,5027,302,1588,31.6,1961,39.0,912,18.1,566,11.3,1478,29.4
MANHATTAN,8,2015,SWD,1633,269,1097,67.2,413,25.3,95,5.8,28,1.7,123,7.5
MANHATTAN,All Grades,2013,Not SWD,42161,309,11565,27.4,13433,31.9,9242,21.9,7921,18.8,17163,40.7
MANHATTAN,All Grades,2013,SWD,9807,274,6254,63.8,2391,24.4,812,8.3,350,3.6,1162,11.8
MANHATTAN,All Grades,2014,Not SWD,39276,314,9201,23.4,11690,29.8,9300,23.7,9085,23.1,18385,46.8
MANHATTAN,All Grades,2014,SWD,11347,277,6732,59.3,2862,25.2,1186,10.5,567,5.0,1753,15.4
MANHATTAN,All Grades,2015,Not SWD,37572,316,8430,22.4,10696,28.5,8708,23.2,9738,25.9,18446,49.1
MANHATTAN,All Grades,2015,SWD,11243,279,6461,57.5,2924,26.0,1226,10.9,632,5.6,1858,16.5
QUEENS,3,2013,Not SWD,17948,310,3689,20.6,6282,35.0,4632,25.8,3345,18.6,7977,44.4
QUEENS,3,2013,SWD,3226,280,1718,53.3,1008,31.2,361,11.2,139,4.3,500,15.5
QUEENS,3,2014,Not SWD,17547,313,3251,18.5,5458,31.1,5239,29.9,3599,20.5,8838,50.4
QUEENS,3,2014,SWD,3484,286,1595,45.8,1091,31.3,596,17.1,202,5.8,798,22.9
QUEENS,3,2015,Not SWD,17540,313,3261,18.6,5570,31.8,4684,26.7,4025,22.9,8709,49.7
QUEENS,3,2015,SWD,3569,284,1783,50.0,1094,30.7,473,13.3,219,6.1,692,19.4
QUEENS,4,2013,Not SWD,17269,312,3058,17.7,5883,34.1,4739,27.4,3589,20.8,8328,48.2
QUEENS,4,2013,SWD,3421,278,1877,54.9,1026,30.0,384,11.2,134,3.9,518,15.1
QUEENS,4,2014,Not SWD,17012,318,2712,15.9,5046,29.7,4554,26.8,4700,27.6,9254,54.4
QUEENS,4,2014,SWD,3611,282,1793,49.7,1139,31.5,453,12.5,226,6.3,679,18.8
QUEENS,4,2015,Not SWD,16970,316,2720,16.0,5155,30.4,4513,26.6,4582,27.0,9095,53.6
QUEENS,4,2015,SWD,3727,281,1855,49.8,1222,32.8,466,12.5,184,4.9,650,17.4
QUEENS,5,2013,Not SWD,16896,312,4752,28.1,5115,30.3,4373,25.9,2656,15.7,7029,41.6
QUEENS,5,2013,SWD,3395,278,2264,66.7,775,22.8,273,8.0,83,2.4,356,10.5
QUEENS,5,2014,Not SWD,16904,321,3257,19.3,4702,27.8,4850,28.7,4095,24.2,8945,52.9
QUEENS,5,2014,SWD,3546,286,1932,54.5,1048,29.6,405,11.4,161,4.5,566,16.0
QUEENS,5,2015,Not SWD,16518,323,2868,17.4,4346,26.3,5087,30.8,4217,25.5,9304,56.3
QUEENS,5,2015,SWD,3607,286,1995,55.3,980,27.2,481,13.3,151,4.2,632,17.5
QUEENS,6,2013,Not SWD,17109,312,3158,18.5,6767,39.6,3572,20.9,3612,21.1,7184,42.0
QUEENS,6,2013,SWD,3271,275,1884,57.6,1126,34.4,173,5.3,88,2.7,261,8.0
QUEENS,6,2014,Not SWD,16547,315,2941,17.8,5584,33.7,3613,21.8,4409,26.6,8022,48.5
QUEENS,6,2014,SWD,3400,276,1963,57.7,1032,30.4,260,7.6,145,4.3,405,11.9
QUEENS,6,2015,Not SWD,16603,317,2877,17.3,5451,32.8,3774,22.7,4501,27.1,8275,49.8
QUEENS,6,2015,SWD,3439,276,2019,58.7,1062,30.9,246,7.2,112,3.3,358,10.4
QUEENS,7,2013,Not SWD,17466,310,4913,28.1,6012,34.4,4254,24.4,2287,13.1,6541,37.4
QUEENS,7,2013,SWD,3085,272,2221,72.0,676,21.9,150,4.9,38,1.2,188,6.1
QUEENS,7,2014,Not SWD,17011,314,3986,23.4,5606,33.0,4735,27.8,2684,15.8,7419,43.6
QUEENS,7,2014,SWD,3275,278,2208,67.4,811,24.8,226,6.9,30,0.9,256,7.8
QUEENS,7,2015,Not SWD,16478,317,3469,21.1,5233,31.8,4474,27.2,3302,20.0,7776,47.2
QUEENS,7,2015,SWD,3250,277,2137,65.8,818,25.2,244,7.5,51,1.6,295,9.1
QUEENS,8,2013,Not SWD,16987,312,3585,21.1,6880,40.5,4056,23.9,2466,14.5,6522,38.4
QUEENS,8,2013,SWD,3025,272,1947,64.4,890,29.4,158,5.2,30,1.0,188,6.2
QUEENS,8,2014,Not SWD,13535,307,3195,23.6,5825,43.0,3116,23.0,1399,10.3,4515,33.4
QUEENS,8,2014,SWD,2897,274,1772,61.2,895,30.9,202,7.0,28,1.0,230,7.9
QUEENS,8,2015,Not SWD,12865,308,3130,24.3,5506,42.8,2717,21.1,1512,11.8,4229,32.9
QUEENS,8,2015,SWD,2903,272,1908,65.7,815,28.1,147,5.1,33,1.1,180,6.2
QUEENS,All Grades,2013,Not SWD,103675,311,23155,22.3,36939,35.6,25626,24.7,17955,17.3,43581,42.0
